published_date,sentiment_score
2023-01-31 08:00:00,-0.2732
2023-02-22 08:00:00,-0.34
2023-01-30 08:00:00,0.3612
2023-02-14 08:00:00,0.0
2023-01-31 08:00:00,0.4939
2023-02-25 08:00:00,0.296
2023-01-31 08:00:00,0.0
2023-01-28 08:00:00,0.0
2023-01-30 08:00:00,0.34
2023-01-30 08:00:00,0.4588
2023-02-22 08:00:00,0.0
2023-02-09 08:00:00,0.0
2023-02-14 08:00:00,0.3612
2023-02-22 08:00:00,0.25
2023-02-16 08:00:00,0.0
2023-02-14 08:00:00,0.2732
2023-01-27 08:00:00,0.0
2023-01-31 08:00:00,0.128
2023-02-10 08:00:00,0.0
2023-02-10 08:00:00,0.0
2023-02-22 08:00:00,0.0
2023-02-22 08:00:00,0.34
2023-02-22 08:00:00,0.0
2023-02-14 08:00:00,-0.5859
2023-02-09 08:00:00,0.296
2023-02-15 08:00:00,0.0
2023-02-23 08:00:00,0.0
2023-02-07 08:00:00,0.0
2023-02-10 08:00:00,-0.5267
2023-02-23 08:00:00,0.0
2023-02-11 08:00:00,0.3612
2023-02-24 08:00:00,0.128
2023-01-28 08:00:00,0.0
2023-02-20 08:00:00,0.0
2023-02-17 08:00:00,0.0
2023-02-06 08:00:00,0.0
2023-01-30 08:00:00,0.4588
2023-02-15 08:00:00,-0.6908
2023-02-06 08:00:00,0.4019
2023-02-14 08:00:00,-0.5267
2023-02-03 08:00:00,-0.3818
2023-01-31 08:00:00,-0.5106
2023-02-03 08:00:00,-0.3818
2023-02-06 08:00:00,0.0
2023-02-15 08:00:00,0.4404
2023-02-02 08:00:00,0.0
2023-02-28 08:00:00,0.0
2023-01-27 08:00:00,0.0
2023-01-27 08:00:00,0.0
2023-02-16 08:00:00,-0.5859
2023-02-21 08:00:00,-0.6249
2023-02-03 08:00:00,-0.4019
2023-01-27 08:00:00,0.4019
2023-02-24 08:00:00,0.4019
2023-02-10 08:00:00,0.3182
2023-02-03 08:00:00,0.0
2023-02-22 08:00:00,0.0
2023-02-10 08:00:00,0.4019
2023-02-22 08:00:00,0.4588
2023-01-30 08:00:00,0.0
2023-02-11 08:00:00,0.0
2023-01-27 08:00:00,-0.128
2023-02-06 08:00:00,-0.4404
2023-02-01 08:00:00,-0.34
2023-02-07 08:00:00,0.0
2023-02-15 08:00:00,0.0
2023-01-30 08:00:00,0.0
2023-02-01 08:00:00,-0.3818
2023-02-22 08:00:00,0.34
2023-02-03 08:00:00,0.0
2023-01-28 08:00:00,-0.4215
2023-01-29 08:00:00,0.0
2023-02-23 08:00:00,0.6249
2023-02-07 08:00:00,0.6808
2023-02-02 08:00:00,0.0
2023-01-30 08:00:00,0.0
2023-01-28 08:00:00,0.0
2023-02-03 08:00:00,0.1779
2023-01-28 08:00:00,-0.5994
2023-01-31 08:00:00,0.128
2023-02-07 08:00:00,-0.4404
2023-02-28 08:00:00,0.0
2023-02-15 08:00:00,0.0
2023-02-15 08:00:00,0.0
2023-02-22 08:00:00,0.0
2023-02-15 08:00:00,-0.4019
2023-01-26 08:00:00,0.0
2023-01-29 08:00:00,0.7003
2023-01-30 08:00:00,0.0
2023-02-22 08:00:00,0.0
2023-01-31 08:00:00,0.0
2023-02-01 08:00:00,0.3612
2023-01-28 08:00:00,0.0
2023-01-30 08:00:00,-0.8126
2023-02-07 08:00:00,-0.6597
2023-02-27 08:00:00,0.2144
2023-02-15 08:00:00,0.0
2023-02-11 08:00:00,0.0
2023-02-07 08:00:00,0.0
2023-02-03 08:00:00,-0.4939
2023-04-04 07:00:00,-0.6486
2023-04-03 07:00:00,-0.6705
2023-04-06 07:00:00,-0.2263
2023-03-04 08:00:00,0.0
2023-04-01 07:00:00,0.0
2023-03-22 07:00:00,0.0
2023-04-14 07:00:00,0.0
2023-04-03 07:00:00,0.5499
2023-04-25 07:00:00,-0.4939
2023-03-30 07:00:00,0.0
2023-04-05 07:00:00,0.5267
2023-04-20 07:00:00,0.4215
2023-03-30 07:00:00,0.4588
2023-03-30 07:00:00,0.0
2023-04-13 07:00:00,0.0
2023-04-09 07:00:00,0.0
2023-04-04 07:00:00,-0.6486
2023-03-31 07:00:00,-0.34
2023-03-31 07:00:00,0.0
2023-04-04 07:00:00,-0.4885
2023-04-06 07:00:00,-0.2732
2023-03-30 07:00:00,0.4588
2023-04-06 07:00:00,-0.6369
2023-04-03 07:00:00,0.0
2023-03-31 07:00:00,0.0
2023-04-18 07:00:00,-0.5994
2023-04-05 07:00:00,-0.5267
2023-04-05 07:00:00,-0.6808
2023-04-04 07:00:00,0.0
2023-04-17 07:00:00,0.0
2023-04-27 07:00:00,-0.6597
2023-04-04 07:00:00,0.2732
2023-03-31 07:00:00,0.0
2023-04-04 07:00:00,-0.2732
2023-04-04 07:00:00,0.0
2023-04-05 07:00:00,-0.6705
2023-04-04 07:00:00,-0.2887
2023-04-12 07:00:00,0.0
2023-03-04 08:00:00,0.0
2023-04-04 07:00:00,-0.2732
2023-03-30 07:00:00,0.4588
2023-04-05 07:00:00,0.2168
2023-03-31 07:00:00,0.0
2023-04-14 07:00:00,0.2585
2023-03-31 07:00:00,0.4404
2023-04-05 07:00:00,0.0
2023-04-01 07:00:00,-0.3182
2023-03-24 07:00:00,0.0
2023-04-10 07:00:00,0.4588
2023-03-31 07:00:00,0.2732
2023-03-31 07:00:00,-0.5423
2023-04-05 07:00:00,0.4019
2023-03-13 07:00:00,0.0
2023-03-25 07:00:00,0.0
2023-04-03 07:00:00,0.0
2023-03-31 07:00:00,0.0
2023-03-30 07:00:00,0.0
2023-04-04 07:00:00,-0.1779
2023-03-31 07:00:00,-0.2023
2023-04-05 07:00:00,-0.4939
2023-04-25 07:00:00,0.0
2023-04-14 07:00:00,0.0
2023-03-31 07:00:00,0.0
2023-04-04 07:00:00,-0.5053
2023-04-03 07:00:00,0.5574
2023-04-05 07:00:00,-0.2732
2023-04-24 07:00:00,0.4767
2023-04-04 07:00:00,-0.25
2023-03-26 07:00:00,-0.2732
2023-04-04 07:00:00,-0.6808
2023-04-06 07:00:00,0.3612
2023-04-05 07:00:00,-0.8074
2023-04-02 07:00:00,0.4019
2023-04-08 07:00:00,-0.296
2023-04-20 07:00:00,-0.5574
2023-03-05 08:00:00,-0.1027
2023-04-15 07:00:00,0.0
2023-03-30 07:00:00,-0.4939
2023-04-04 07:00:00,-0.25
2023-04-25 07:00:00,-0.6908
2023-04-15 07:00:00,0.0
2023-04-03 07:00:00,0.0
2023-04-28 07:00:00,-0.7906
2023-03-30 07:00:00,0.4588
2023-04-27 07:00:00,0.4588
2023-04-04 07:00:00,0.5216
2023-04-27 07:00:00,0.0
2023-04-04 07:00:00,-0.6705
2023-04-26 07:00:00,0.0
2023-03-31 07:00:00,0.0
2023-04-06 07:00:00,-0.34
2023-04-26 07:00:00,-0.7845
2023-04-05 07:00:00,0.3182
2023-04-25 07:00:00,-0.2732
2023-04-04 07:00:00,0.0
2023-04-27 07:00:00,-0.34
2023-03-30 07:00:00,0.0
2023-04-07 07:00:00,-0.3612
2023-03-30 07:00:00,0.0
2023-03-31 07:00:00,-0.4767
2023-06-13 07:00:00,0.0598
2023-06-12 07:00:00,0.0598
2023-06-12 07:00:00,0.34
2023-06-09 07:00:00,0.0
2023-06-21 07:00:00,0.4215
2023-05-11 07:00:00,0.5859
2023-06-02 07:00:00,-0.4019
2023-06-22 07:00:00,0.0
2023-06-09 07:00:00,-0.5267
2023-06-08 07:00:00,-0.2023
2023-06-14 07:00:00,0.0
2023-06-16 07:00:00,0.128
2023-06-09 07:00:00,0.0
2023-06-09 07:00:00,-0.2732
2023-06-16 07:00:00,-0.2023
2023-06-15 07:00:00,-0.5994
2023-06-09 07:00:00,-0.296
2023-05-09 07:00:00,-0.296
2023-06-10 07:00:00,-0.2023
2023-06-09 07:00:00,-0.4215
2023-06-09 07:00:00,0.0
2023-06-14 07:00:00,0.5267
2023-06-16 07:00:00,0.4588
2023-06-13 07:00:00,0.0
2023-06-14 07:00:00,-0.2023
2023-06-27 07:00:00,0.3182
2023-06-10 07:00:00,-0.3612
2023-06-13 07:00:00,-0.34
2023-06-13 07:00:00,-0.5106
2023-06-20 07:00:00,-0.34
2023-06-12 07:00:00,0.4767
2023-06-09 07:00:00,0.0
2023-06-28 07:00:00,0.0
2023-06-23 07:00:00,-0.5423
2023-06-13 07:00:00,-0.6808
2023-06-30 07:00:00,0.5267
2023-06-10 07:00:00,0.0
2023-06-13 07:00:00,0.3252
2023-06-12 07:00:00,0.0
2023-06-10 07:00:00,-0.34
2023-06-13 07:00:00,0.0
2023-06-13 07:00:00,0.0
2023-06-09 07:00:00,-0.2023
2023-06-15 07:00:00,0.3182
2023-06-15 07:00:00,0.5106
2023-05-11 07:00:00,0.1531
2023-06-23 07:00:00,0.4588
2023-06-13 07:00:00,-0.2023
2023-06-09 07:00:00,-0.5423
2023-05-19 07:00:00,0.0
2023-06-07 07:00:00,0.0
2023-06-27 07:00:00,0.0
2023-06-12 07:00:00,-0.1531
2023-06-21 07:00:00,0.0
2023-06-20 07:00:00,0.0
2023-06-13 07:00:00,0.0598
2023-06-10 07:00:00,0.0
2023-06-29 07:00:00,0.6597
2023-06-10 07:00:00,0.0
2023-06-12 07:00:00,0.3612
2023-06-14 07:00:00,-0.6486
2023-06-09 07:00:00,-0.4404
2023-06-13 07:00:00,0.0
2023-06-09 07:00:00,0.34
2023-06-12 07:00:00,0.5719
2023-06-10 07:00:00,-0.743
2023-06-13 07:00:00,-0.2658
2023-06-11 07:00:00,0.0
2023-06-09 07:00:00,0.0
2023-06-09 07:00:00,-0.5267
2023-06-09 07:00:00,-0.2023
2023-06-12 07:00:00,0.128
2023-06-10 07:00:00,0.3182
2023-06-21 07:00:00,0.0
2023-06-09 07:00:00,-0.2732
2023-06-09 07:00:00,0.0
2023-06-25 07:00:00,0.128
2023-06-27 07:00:00,0.0
2023-06-13 07:00:00,-0.2023
2023-06-09 07:00:00,-0.2732
2023-06-11 07:00:00,0.0406
2023-06-06 07:00:00,0.4404
2023-06-21 07:00:00,0.4019
2023-06-09 07:00:00,0.4019
2023-06-29 07:00:00,0.0
2023-06-09 07:00:00,0.0
2023-06-13 07:00:00,0.0
2023-06-12 07:00:00,0.0
2023-06-13 07:00:00,-0.3612
2023-06-14 07:00:00,-0.743
2023-06-15 07:00:00,-0.7579
2023-06-26 07:00:00,0.0
2023-06-27 07:00:00,-0.6908
2023-06-09 07:00:00,0.0
2023-06-26 07:00:00,0.128
2023-06-28 07:00:00,0.0
2023-06-14 07:00:00,0.0
2023-06-13 07:00:00,-0.0772
2023-05-24 07:00:00,0.34
2023-06-29 07:00:00,0.5423
2023-08-02 07:00:00,-0.4404
2023-07-29 07:00:00,-0.5423
2023-08-21 07:00:00,-0.2732
2023-08-07 07:00:00,0.5719
2023-07-20 07:00:00,0.4215
2023-08-25 07:00:00,-0.3818
2023-08-01 07:00:00,-0.5267
2023-08-15 07:00:00,0.0
2023-08-28 07:00:00,0.0
2023-07-26 07:00:00,0.5267
2023-08-01 21:54:53,0.0
2023-08-14 07:00:00,0.0
2023-08-17 07:00:00,0.0
2023-07-17 07:00:00,0.0772
2023-08-15 07:00:00,0.6705
2023-08-03 07:00:00,0.0598
2023-08-24 07:00:00,-0.34
2023-08-15 07:00:00,-0.6369
2023-08-29 07:00:00,0.25
2023-07-27 07:00:00,-0.2732
2023-08-03 07:00:00,0.4847
2023-08-05 07:00:00,-0.2732
2023-08-15 07:00:00,-0.2732
2023-07-20 07:00:00,0.0
2023-08-18 07:00:00,-0.6908
2023-08-01 07:00:00,0.0
2023-08-01 07:00:00,-0.6486
2023-08-15 07:00:00,-0.2023
2023-08-03 07:00:00,0.0083
2023-08-05 07:00:00,-0.2023
2023-08-01 07:00:00,-0.4767
2023-07-18 07:00:00,0.0
2023-08-16 07:00:00,0.4019
2023-08-05 07:00:00,0.0
2023-07-21 07:00:00,0.0
2023-08-21 07:00:00,-0.2732
2023-08-01 07:00:00,-0.296
2023-08-07 07:00:00,0.0
2023-08-02 07:00:00,-0.2023
2023-08-04 07:00:00,0.0
2023-08-15 07:00:00,0.0
2023-08-01 07:00:00,0.0
2023-08-21 07:00:00,0.0
2023-07-10 07:00:00,-0.5267
2023-08-24 07:00:00,0.0
2023-08-16 07:00:00,0.0
2023-08-10 07:00:00,0.0
2023-08-25 07:00:00,0.0
2023-08-01 07:00:00,-0.5994
2023-08-02 07:00:00,0.0
2023-08-02 07:00:00,0.0
2023-08-23 07:00:00,0.1531
2023-08-01 07:00:00,0.4215
2023-08-01 07:00:00,0.0
2023-08-14 07:00:00,-0.2732
2023-08-15 07:00:00,0.0
2023-08-04 07:00:00,0.128
2023-08-14 07:00:00,-0.2732
2023-08-25 07:00:00,0.0
2023-08-24 07:00:00,-0.2732
2023-07-27 07:00:00,-0.2023
2023-08-25 07:00:00,0.0
2023-08-04 07:00:00,0.0
2023-07-21 07:00:00,0.0
2023-08-31 07:00:00,0.3252
2023-08-10 07:00:00,-0.0516
2023-08-01 07:00:00,0.0
2023-07-11 07:00:00,0.0
2023-08-24 07:00:00,-0.5994
2023-08-24 07:00:00,-0.2732
2023-08-14 07:00:00,-0.6705
2023-08-24 07:00:00,0.128
2023-08-14 07:00:00,-0.6705
2023-08-03 07:00:00,-0.0516
2023-08-25 07:00:00,-0.34
2023-08-14 07:00:00,-0.4939
2023-07-18 07:00:00,0.4201
2023-08-16 07:00:00,-0.4215
2023-08-06 07:00:00,0.0
2023-08-08 07:00:00,0.4588
2023-08-01 07:00:00,-0.0258
2023-08-12 07:00:00,0.5106
2023-07-12 07:00:00,0.0
2023-08-12 07:00:00,0.0
2023-07-27 07:00:00,0.5267
2023-08-15 07:00:00,-0.5267
2023-07-14 07:00:00,-0.2023
2023-07-28 07:00:00,0.0
2023-08-25 07:00:00,-0.2732
2023-08-17 07:00:00,-0.6908
2023-08-07 07:00:00,-0.34
2023-08-23 07:00:00,0.0
2023-08-03 07:00:00,-0.6705
2023-08-16 07:00:00,-0.2023
2023-08-18 07:00:00,0.2263
2023-08-31 07:00:00,-0.4404
2023-07-18 07:00:00,-0.296
2023-08-20 07:00:00,0.0
2023-08-03 07:00:00,0.0
2023-08-24 07:00:00,-0.5267
2023-09-18 07:00:00,0.3818
2023-09-06 07:00:00,-0.2263
2023-10-12 07:00:00,-0.6705
2023-10-25 07:00:00,-0.8658
2023-10-25 07:00:00,-0.5859
2023-09-28 07:00:00,0.5267
2023-09-27 07:00:00,0.0
2023-09-29 07:00:00,-0.4019
2023-09-18 07:00:00,0.0
2023-10-25 07:00:00,0.7269
2023-10-18 07:00:00,-0.5267
2023-10-04 07:00:00,0.0
2023-10-10 07:00:00,-0.5859
2023-10-25 07:00:00,-0.5859
2023-09-06 07:00:00,-0.2263
2023-10-05 07:00:00,0.0
2023-09-20 07:00:00,-0.4404
2023-10-01 07:00:00,-0.0258
2023-10-20 07:00:00,-0.8957
2023-10-29 07:00:00,-0.5267
2023-10-06 07:00:00,0.34
2023-10-25 07:00:00,-0.34
2023-10-24 07:00:00,-0.5859
2023-09-26 07:00:00,0.4019
2023-10-05 07:00:00,0.6808
2023-09-06 07:00:00,0.0
2023-10-18 07:00:00,-0.6369
2023-10-03 07:00:00,0.0
2023-09-26 07:00:00,-0.5267
2023-10-24 07:00:00,0.5267
2023-10-16 07:00:00,-0.6705
2023-10-28 07:00:00,-0.34
2023-09-28 07:00:00,0.3182
2023-10-09 07:00:00,0.6037
2023-10-16 07:00:00,0.0
2023-10-19 07:00:00,0.4939
2023-10-25 07:00:00,-0.8555
2023-10-24 07:00:00,0.0
2023-09-05 07:00:00,0.3612
2023-09-25 07:00:00,0.0
2023-10-04 07:00:00,-0.3612
2023-09-18 07:00:00,0.0
2023-10-17 07:00:00,-0.7096
2023-10-20 07:00:00,0.0
2023-09-25 07:00:00,-0.4404
2023-10-11 07:00:00,0.3818
2023-09-21 07:00:00,0.0
2023-10-30 07:00:00,-0.3818
2023-10-06 07:00:00,0.0
2023-09-27 07:00:00,0.34
2023-10-24 07:00:00,-0.4215
2023-09-16 07:00:00,0.4215
2023-10-19 07:00:00,0.0
2023-10-15 07:00:00,0.0
2023-09-26 07:00:00,-0.4019
2023-10-02 07:00:00,-0.5859
2023-09-25 07:00:00,0.0
2023-09-26 07:00:00,0.0
2023-10-26 07:00:00,0.2263
2023-10-10 07:00:00,0.0
2023-10-05 07:00:00,-0.4588
2023-09-22 07:00:00,0.0
2023-10-07 07:00:00,-0.34
2023-09-27 07:00:00,-0.5859
2023-09-15 07:00:00,0.0
2023-09-27 07:00:00,-0.6979
2023-10-12 07:00:00,0.0
2023-09-28 07:00:00,-0.5106
2023-09-25 07:00:00,-0.0516
2023-10-18 07:00:00,-0.5267
2023-10-12 07:00:00,0.0
2023-10-11 07:00:00,0.4404
2023-10-24 07:00:00,-0.6705
2023-10-17 07:00:00,0.4215
2023-10-17 07:00:00,-0.5859
2023-10-24 07:00:00,-0.4215
2023-10-21 07:00:00,-0.6705
2023-10-02 07:00:00,0.0
2023-10-04 07:00:00,0.0
2023-09-27 07:00:00,-0.4215
2023-09-17 07:00:00,0.0
2023-09-18 07:00:00,0.34
2023-10-04 07:00:00,-0.6597
2023-09-18 07:00:00,0.0
2023-10-04 07:00:00,0.0
2023-10-23 07:00:00,0.0
2023-10-26 07:00:00,0.0
2023-10-16 07:00:00,-0.5267
2023-09-28 07:00:00,0.0
2023-09-16 07:00:00,-0.3818
2023-10-19 07:00:00,0.5267
2023-09-21 07:00:00,0.3182
2023-09-19 07:00:00,0.0
2023-09-17 07:00:00,0.3412
2023-10-27 07:00:00,-0.5859
2023-10-25 07:00:00,-0.7096
2023-09-27 07:00:00,0.0
2023-09-29 07:00:00,-0.7334
2023-10-24 07:00:00,0.8176
